n,our_time,sdpa_time,mosek_time,our_mem,sdpa_mem,mosek_mem,our_res,sdpa_res,mosek_res
3.0,0.000219751,0.003910268,0.002275085,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,0.000199006,0.003245481,0.002455051,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,0.000129494,0.003468413,0.002696044,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,0.000114018,0.003399214,0.002967586,8384.0,197248.0,157184.0,1.0,1.0,1.0
3.0,0.00013265,0.00361297,0.002940043,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,0.000128471,0.003548212,0.002900391,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,0.00013264,0.003489235,0.00295265,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,0.000139327,0.003589772,0.002992525,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,0.000126927,0.003641088,0.002898988,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,0.000122041,0.003568029,0.002458324,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,0.000125316,0.003579506,0.003191339,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,0.000130034,0.003500986,0.002516208,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,0.000130927,0.00363934,0.003039819,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,0.000126416,0.003621234,0.002448453,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,0.000110534,0.003530078,0.002947533,8384.0,197248.0,157184.0,1.0,1.0,1.0
3.0,0.000127952,0.003303046,0.002464789,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,0.000125937,0.003438412,0.002876143,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,0.000121119,0.003486986,0.002630355,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,0.000121491,0.003434454,0.003111746,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,0.000107939,0.004630196,0.004886669,8384.0,197248.0,157184.0,1.0,1.0,1.0
3.0,0.000162282,0.005538132,0.004951011,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,0.000166857,0.004670116,0.004197703,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,0.000136621,0.004008429,0.003236344,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,0.000111817,0.003477537,0.002570775,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,0.00010015,0.002984163,0.00232902,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,0.000100624,0.002911826,0.002411818,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,0.000101796,0.002945994,0.002385658,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,9.8899e-5,0.00291459,0.002306324,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,9.6492e-5,0.002769454,0.0026537,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,8.6678e-5,0.002646891,0.002374813,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,8.1144e-5,0.002570091,0.002371807,8384.0,197248.0,157184.0,1.0,1.0,1.0
3.0,9.3271e-5,0.002529335,0.00250145,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,9.7394e-5,0.002607459,0.002309701,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,8.8943e-5,0.002514354,0.002557195,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,8.4081e-5,0.00267457,0.002439251,8384.0,197248.0,157184.0,1.0,1.0,1.0
3.0,8.5339e-5,0.002569058,0.002355384,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,8.5375e-5,0.002579883,0.002355568,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,8.9422e-5,0.002698896,0.002395852,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,8.8076e-5,0.002693946,0.002232016,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,8.3017e-5,0.002746879,0.002385383,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,7.7494e-5,0.002664321,0.002288315,8384.0,197248.0,157184.0,1.0,1.0,1.0
3.0,7.8554e-5,0.002756283,0.002280611,8384.0,197248.0,157184.0,1.0,1.0,1.0
3.0,7.5213e-5,0.002590435,0.00244345,6112.0,197248.0,157184.0,1.0,1.0,1.0
3.0,9.4479e-5,0.002710783,0.002400116,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,9.045e-5,0.002867777,0.002356068,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,8.4668e-5,0.00281724,0.002330209,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,8.216e-5,0.002796637,0.002348548,8384.0,197248.0,157184.0,1.0,1.0,1.0
3.0,9.5064e-5,0.002609109,0.002148717,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,9.2262e-5,0.002565901,0.002354134,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,8.0592e-5,0.002665072,0.002282263,6112.0,197248.0,157184.0,1.0,1.0,1.0
3.0,8.2527e-5,0.002595365,0.002188898,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,8.6503e-5,0.002657317,0.002390817,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,9.7754e-5,0.002763297,0.002346102,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,9.2705e-5,0.002787349,0.002247389,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,9.1614e-5,0.002775439,0.002212572,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,8.6455e-5,0.002821454,0.002252898,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,8.5217e-5,0.002831395,0.002391713,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,9.8116e-5,0.002869778,0.002232749,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,8.3871e-5,0.002902837,0.002346727,6112.0,197248.0,157184.0,1.0,1.0,1.0
3.0,9.1091e-5,0.00287039,0.002434955,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,8.3485e-5,0.002868759,0.00248211,8704.0,197248.0,157184.0,1.0,1.0,1.0
3.0,9.3569e-5,0.002926124,0.002520603,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,0.000108888,0.003055203,0.002387502,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,8.9258e-5,0.002751813,0.002418832,8384.0,197248.0,157184.0,1.0,1.0,1.0
3.0,8.6402e-5,0.002742036,0.002247311,8384.0,197248.0,157184.0,1.0,1.0,1.0
3.0,8.996e-5,0.002606162,0.002363711,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,9.5066e-5,0.00259454,0.002328702,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,9.5718e-5,0.002704977,0.002391312,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,9.1051e-5,0.002739368,0.002395477,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,8.9803e-5,0.002713546,0.002195882,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,9.7403e-5,0.002740687,0.002346299,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,0.000117603,0.003129481,0.002392818,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,8.9069e-5,0.002832045,0.002281715,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,9.5367e-5,0.002935934,0.002341835,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,8.4322e-5,0.002751948,0.002173957,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,0.000126301,0.002843746,0.002427286,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,9.7807e-5,0.002756681,0.002220042,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,9.8594e-5,0.003027822,0.002578182,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,8.6377e-5,0.003002913,0.00240053,8384.0,197248.0,157184.0,1.0,1.0,1.0
3.0,9.6523e-5,0.002996059,0.002556105,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,9.3332e-5,0.002955788,0.00244726,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,9.3797e-5,0.002935409,0.002569737,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,8.9887e-5,0.003017925,0.002509866,8384.0,197248.0,157184.0,1.0,1.0,1.0
3.0,9.9016e-5,0.002912435,0.002263938,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,9.4099e-5,0.002959862,0.002380932,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,9.4422e-5,0.002877151,0.00220025,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,9.0006e-5,0.002891784,0.002401248,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,9.48e-5,0.003104931,0.002551444,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,9.0511e-5,0.002906999,0.002385552,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,0.000103759,0.003017403,0.002380133,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,9.4266e-5,0.002946271,0.002470414,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,9.4184e-5,0.002890108,0.002288874,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,7.934e-5,0.002881744,0.002481235,6112.0,197248.0,157184.0,1.0,1.0,1.0
3.0,9.6073e-5,0.002959998,0.002358181,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,8.9298e-5,0.002901084,0.002338002,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,7.9484e-5,0.002882283,0.002396412,6112.0,197248.0,157184.0,1.0,1.0,1.0
