n,our_time,sdpa_time,mosek_time,our_mem,sdpa_mem,mosek_mem,our_res,sdpa_res,mosek_res
3.0,0.000235795,0.003091296,0.007432009,14320.0,197248.0,155264.0,0.0,0.0,2.0
3.0,0.00021552,0.003085864,0.005923366,14160.0,197296.0,155264.0,0.0,2.0,2.0
3.0,0.000277805,0.003499764,0.005827598,14480.0,197248.0,155264.0,0.0,0.0,0.0
3.0,0.000207907,0.002513729,0.002579065,13840.0,197248.0,156368.0,0.0,0.0,0.0
3.0,0.00011174,0.002528482,0.005086846,14480.0,197248.0,155264.0,0.0,0.0,0.0
3.0,9.9766e-5,0.002645743,0.004728364,14320.0,197248.0,155264.0,0.0,0.0,0.0
3.0,0.000167809,0.002666966,0.00552691,14160.0,197296.0,155264.0,0.0,2.0,2.0
3.0,0.000119027,0.002770069,0.004979428,14320.0,197248.0,155264.0,0.0,0.0,0.0
3.0,0.00011244,0.002640718,0.002766783,14480.0,197248.0,156368.0,0.0,0.0,0.0
3.0,8.4594e-5,0.002542348,0.002507724,12032.0,197248.0,156368.0,0.0,0.0,0.0
3.0,0.00011248,0.002507294,0.00260633,14320.0,197248.0,156368.0,0.0,0.0,0.0
3.0,0.000114637,0.00247906,0.002460243,14480.0,197248.0,156368.0,0.0,0.0,0.0
3.0,0.000131978,0.002480732,0.002627797,14480.0,197248.0,156368.0,0.0,0.0,0.0
3.0,0.000113952,0.002510486,0.005444022,14000.0,197248.0,155264.0,0.0,0.0,0.0
3.0,0.000111313,0.002706186,0.006179504,14320.0,197248.0,155264.0,0.0,0.0,0.0
3.0,0.000107082,0.002620778,0.002581706,14320.0,197248.0,156368.0,0.0,0.0,0.0
3.0,0.00010648,0.002600723,0.002633021,14480.0,197248.0,156368.0,0.0,0.0,0.0
3.0,9.3718e-5,0.002467559,0.002567322,14160.0,197248.0,156368.0,0.0,0.0,0.0
3.0,9.578e-5,0.002611573,0.006033768,14480.0,197248.0,155264.0,0.0,0.0,0.0
